date,usd_index
2004-01-02,1.143223449612403
2004-01-05,0.7932020215071997
2004-01-06,0.7980896010047147
2004-01-07,0.7947809399916818
2004-01-08,0.7939672569217237
2004-01-09,0.8024781671512934
2004-01-12,0.9402250456299742
2004-01-13,0.8040826123171795
2004-01-14,0.8002061289798001
2004-01-15,0.7956232415519654
2004-01-16,0.7900210252128114
2004-01-19,0.8909341974306845
2004-01-20,0.7888640080688433
2004-01-21,0.7948927404069188
2004-01-22,0.7999243035884585
2004-01-23,0.7999229475556852
2004-01-26,0.7966096552844383
2004-01-27,0.7886690407350708
2004-01-28,0.7939803011373588
2004-01-29,0.788965597464716
2004-01-30,0.7843099551998133
2004-02-02,0.7858694447809592
2004-02-03,0.7911142344690535
2004-02-04,0.7905313284194634
2004-02-05,0.790591671422116
2004-02-06,0.789952853398583
2004-02-09,0.8001363007380904
2004-02-10,0.8033715888372346
2004-02-11,0.9336397808694668
2004-02-12,0.8087107808396133
2004-02-13,0.8095733562173834
2004-02-16,0.9437825937707052
2004-02-17,0.8138165935188252
2004-02-18,0.8134012599783105
2004-02-19,0.8063971357323332
2004-02-20,0.8010392001547461
2004-02-23,0.7947420681563419
2004-02-24,0.7985433136681249
2004-02-25,0.8023887677568803
2004-02-26,0.7910778372732299
2004-02-27,0.7890061423117124
2004-03-01,0.7940420988563398
2004-03-02,0.7896180863803014
2004-03-03,0.7767162453448632
2004-03-04,0.779886769678313
2004-03-05,0.778703366115206
2004-03-08,0.7877284988307307
2004-03-09,0.7872187509500067
2004-03-10,0.7813741531929045
2004-03-11,0.7767329186000227
2004-03-12,0.7720830655016581
2004-03-15,0.7760356974813857
2004-03-16,0.7794127411940275
2004-03-17,0.7770745273150244
2004-03-18,0.7802704129901091
2004-03-19,0.7897911442789368
2004-03-22,0.7857656600322153
2004-03-23,0.7854040836605307
2004-03-24,0.78218910690286
2004-03-25,0.7746194723725937
2004-03-26,0.7782225276200807
2004-03-29,0.777867645595306
2004-03-30,0.784695052442892
2004-03-31,0.784704637573674
2004-04-01,0.7899368167828575
2004-04-02,0.7947839433931267
2004-04-05,0.7808174904674291
2004-04-06,0.7831694838556832
2004-04-07,0.7816051730364808
2004-04-08,0.7828408129515534
2004-04-09,0.6542692840271124
2004-04-12,0.6784940298679177
2004-04-13,0.7821105412753088
2004-04-14,0.7685781033256528
2004-04-15,0.7641515980506435
2004-04-16,0.7706044092686792
2004-04-19,0.7731028768728053
2004-04-20,0.7664623153697555
2004-04-21,0.7583488461336731
2004-04-22,0.7587498804520212
2004-04-23,0.7610605845863851
2004-04-26,0.7661051596518168
2004-04-27,0.764109919605505
2004-04-28,0.7624344584202767
2004-04-29,0.8790153705325872
2004-04-30,0.7600675495232334
2004-05-03,0.8846914923532779
2004-05-04,0.8906171531205592
2004-05-05,1.050292157154815
2004-05-06,0.7677929270211651
2004-05-07,0.764464999772911
2004-05-10,0.7525587909034192
2004-05-11,0.749813565494157
2004-05-12,0.7536841918424692
2004-05-13,0.7504081385576347
2004-05-14,0.7473875322067755
2004-05-17,0.7568533563879178
2004-05-18,0.7536304316350405
2004-05-19,0.7589681969043648
2004-05-20,0.7526432059316063
2004-05-21,0.7626176256349001
2004-05-24,0.7651225680093366
2004-05-25,0.7647724584688184
2004-05-26,0.7691703394615149
2004-05-27,0.7733021779089347
2004-05-28,0.7772869019274183
2004-06-01,0.7728932984911804
2004-06-02,0.7743460755352051
2004-06-03,0.773824130891893
2004-06-04,0.7740098466752687
2004-06-07,0.7791302948355997
2004-06-08,0.7796510810924503
2004-06-09,0.7740437218447634
2004-06-10,0.6891766486022963
2004-06-11,0.8750873725036659
2004-06-14,0.7771263131434334
2004-06-15,0.7668884264921332
2004-06-16,0.7745123519453839
2004-06-17,0.7682488304283325
2004-06-18,0.7683418336558702
2004-06-21,0.7712208168215208
2004-06-22,0.7683357761439572
2004-06-23,0.7677130761487909
2004-06-24,0.7698860836872309
2004-06-25,0.7727635456235925
2004-06-28,0.7740946827970199
2004-06-29,0.7721752641543886
2004-06-30,0.7699672402719167
2004-07-01,0.7683022456068769
2004-07-02,0.7742612115425808
2004-07-05,0.8913107891732049
2004-07-06,0.7823132427091531
2004-07-07,0.7869789551244315
2004-07-08,0.7869977488116483
2004-07-09,0.7880184785492219
2004-07-12,0.7904815768146747
2004-07-13,0.7881816640596782
2004-07-14,0.7883263297347057
2004-07-15,0.7866423291659572
2004-07-16,0.7881190757676616
2004-07-19,0.923781116058087
2004-07-20,0.7900524939315622
2004-07-21,0.783212036307275
2004-07-22,0.7818398137054501
2004-07-23,0.778337198391949
2004-07-26,0.7774055694442998
2004-07-27,0.7773342565449406
2004-07-28,0.7695053121843541
2004-07-29,0.7686777494130806
2004-07-30,0.7689889698575427
2004-08-02,0.7903203764935269
2004-08-03,0.7700822248580966
2004-08-04,0.7699608045487976
2004-08-05,0.7722741745224146
2004-08-06,0.7741307276896155
2004-08-09,0.7810653519609935
2004-08-10,0.7811134742517301
2004-08-11,0.777372444138546
2004-08-12,0.778289961432581
2004-08-13,0.7788202613268602
2004-08-16,0.7846118356293054
2004-08-17,0.7838021349450787
2004-08-18,0.7819590008455292
2004-08-19,0.7835153431040526
2004-08-20,0.7852095862911144
2004-08-23,0.7794282474188873
2004-08-24,0.7735436506226623
2004-08-25,0.7705040306308966
2004-08-26,0.7707188557273598
2004-08-27,0.7706538353055421
2004-08-30,0.7663560006898571
2004-08-31,0.7685804121646127
2004-09-01,0.7723672672549864
2004-09-02,0.7717721933743096
2004-09-03,0.7709692329510975
