date,chinese_yuan_to_usd,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,us_dollar_to_usd,algerian_dinar_to_usd,australian_dollar_to_usd,bahrain_dinar_to_usd,botswana_pula_to_usd,brazilian_real_to_usd,brunei_dollar_to_usd,canadian_dollar_to_usd,chilean_peso_to_usd,colombian_peso_to_usd,czech_koruna_to_usd,danish_krone_to_usd,hungarian_forint_to_usd,icelandic_krona_to_usd,indian_rupee_to_usd,indonesian_rupiah_to_usd,iranian_rial_to_usd,israeli_new_shekel_to_usd,kazakhstani_tenge_to_usd,korean_won_to_usd,kuwaiti_dinar_to_usd,libyan_dinar_to_usd,malaysian_ringgit_to_usd,mauritian_rupee_to_usd,mexican_peso_to_usd,nepalese_rupee_to_usd,new_zealand_dollar_to_usd,norwegian_krone_to_usd,omani_rial_to_usd,pakistani_rupee_to_usd,peruvian_sol_to_usd,philippine_peso_to_usd,polish_zloty_to_usd,qatari_riyal_to_usd,russian_ruble_to_usd,saudi_arabian_riyal_to_usd,singapore_dollar_to_usd,south_african_rand_to_usd,sri_lankan_rupee_to_usd,swedish_krona_to_usd,swiss_franc_to_usd,thai_baht_to_usd,trinidadian_dollar_to_usd,tunisian_dinar_to_usd,uae_dirham_to_usd,uruguayan_peso_to_usd,bolivar_fuerte_to_usd
2004-01-02,,1.2592,,1.7858,1.0,,0.7527,2.6595744680851063,,0.3462124359506994,0.5884083553986467,0.7751937984496123,,0.0003599439927147,0.0388636275309937,0.169130331833711,,,0.0219346347883307,,0.0001204516502729,,,0.0008373105584861,,,,,0.0901835234702619,0.0135062128579146,,0.1500217531542073,2.600780234070221,0.0174168844502926,,,0.2679025906180513,0.2747252747252747,,0.2666666666666666,0.5884083553986467,0.149812734082397,0.0103128187305538,0.1388888888888889,,,,,0.2722940776038121,,
2004-01-05,0.1208167210341911,1.2657,0.0093545369504209,1.7996,1.0,,0.7630000000000001,2.6595744680851063,0.2311499999999999,0.3465723989741456,0.5882698982293076,0.7810669374365383,0.0017015773622147,0.0003599763855491,0.0391006842619745,0.1699524133242692,0.0048348885558187,0.0142287990893568,0.0219202104340201,0.0001185958254269,0.0001209615207869,,,0.000836470096194,,0.5175000401062532,0.2631578947368421,0.0384457165704883,,0.0135062128579146,0.6633,0.1505706628120577,2.600780234070221,0.0174168844502926,,,,0.2747252747252747,0.0339506696769593,0.2666666666666666,0.5882698982293076,0.1572327044025157,0.0102766579075285,0.1396648044692737,0.8128759551292473,0.0253929559940072,,,0.2722940776038121,,
2004-01-06,0.120815261383818,1.2756,0.0094117647058823,1.8209,1.0,,0.7668,2.6595744680851063,0.2296499999999999,0.3494182186659212,0.5885468777588134,0.7800920508620017,0.0017258340092849,0.0003598520288457,0.039396446440531,0.1712798026856673,0.0049043648847474,0.0143905597927759,0.0219202104340201,0.0001195457262402,0.0001209178123573,0.2287805994051704,,,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0385173886751173,0.0911693379282679,0.0135062128579146,0.66925,0.1489136747427516,2.600780234070221,0.0174168844502926,,,0.2724276023646715,0.2747252747252747,0.034193879295606,0.2666666666666666,0.5885468777588134,0.1544401544401544,0.0102451983316719,,0.8130081300813008,0.025507601265177,0.1597265481495679,,0.2722940776038121,,
2004-01-07,0.120813801768714,1.2679,0.0094126506024096,1.8140000000000005,1.0,,0.7676999999999999,2.6595744680851063,0.2263,0.3508771929824561,0.589171036351853,0.7762769756249029,0.0017693478183941,0.0003615642716649,0.039177277179236,0.1702417432754511,0.00483278561763,0.0142918393597255,0.0219154065307911,0.0001197891710589,0.0001202589318488,0.2275312855517633,,0.0008418217021634,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0387337173135843,0.0917061002897912,0.0135062128579146,0.6686,0.147955258329881,2.600780234070221,0.0174168844502926,,,0.2707239157507174,0.2747252747252747,0.034193879295606,0.2666666666666666,0.589171036351853,,,0.139518660620858,0.8073631519457453,0.0256022939655393,0.1593930313366699,,0.2722940776038121,,
2004-01-08,0.120813801768714,1.2634,0.0094206311822892,1.8122,1.0,,0.7678999999999999,2.6595744680851063,0.224,0.3482500435312554,0.5891016200294551,0.781983109164842,0.0017610904672173,0.0003624724973992,0.0390350534780232,0.1696266517395213,0.0047716753352101,0.014208581983518,0.0219587176108915,0.0001195171507111,0.0001203057808422,0.2275830678197542,,0.0008421761832575,3.39328130302002,0.5175000401062532,0.2631578947368421,0.038743621831256,0.0918720773195402,0.0135062128579146,0.6704,,2.600780234070221,0.0174168844502926,,,0.2697017099088408,0.2747252747252747,,0.2666666666666666,0.5891016200294551,0.1506024096385542,0.0102223044549825,0.1386001386001386,0.8020532563362208,0.0256298536535356,,,0.2722940776038121,,
2004-01-09,0.1208167210341911,1.2737,0.0092980009298,1.8365,1.0,,0.7752,2.6595744680851063,0.22215,0.3498950314905528,0.5901097604154373,0.7878978884336589,,0.000363518715761,0.0391788120984171,0.1710161781304511,0.0047270148900969,0.0143245953301819,0.0219780219780219,0.0001198609612849,0.0001209879614777,0.2281542322610084,,0.0008450942280064,,0.5175000401062532,0.2631578947368421,0.0387143730981564,0.0922713515907581,,,0.1472905896042302,2.600780234070221,0.0174168844502926,,,0.2714072465734835,0.2747252747252747,0.0344925116757152,0.2666666666666666,0.5901097604154373,0.1484780994803266,0.0102069874995024,0.1396160558464223,0.8139345596614033,0.0256265696273896,0.1600204826217756,,0.2722940776038121,,
2004-01-12,0.1208167210341911,1.2828,,1.8523,1.0,,0.7787,2.6595744680851063,0.22515,0.3519391849088477,0.5911213572146362,0.7851758793969849,0.0017840894899288,0.0003630647017605,0.0393654292800063,0.1722356183258697,0.0047725862644967,0.0144696860078136,0.0220167327168648,0.0001200480192076,0.0001211902320674,0.2281021897810218,,0.0008453799983092,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0388820629267306,0.0924385283786282,0.0135062128579146,0.68115,0.1490490669528408,2.600780234070221,0.0174168844502926,,,0.2743032696949747,0.2747252747252747,0.0346367128374048,0.2666666666666666,0.5911213572146362,0.1483679525222551,0.0102351526317136,0.1413427561837456,0.821557673348669,0.0257003341043433,,,0.2722940776038121,,
2004-01-13,0.12081964044075,1.2749,0.0093870271285084,1.845,1.0,,0.7782000000000001,2.6595744680851063,0.21765,0.3551767004084531,0.5901445854234287,0.7856076675308351,0.0017882369771642,0.0003630647017605,0.0391604010025062,0.1711625359441325,0.0047391118904317,0.0143616257360333,0.022011886418666,0.000120148984741,0.000120166938805,0.2275312855517633,,0.0008485362749257,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0388987000054458,0.0922773117773533,,0.6797,0.1487807418207787,2.600780234070221,0.0174168844502926,,,0.2712379299121189,0.2747252747252747,0.0346211237324341,0.2666666666666666,0.5901445854234287,0.1436781609195402,0.0102034361091441,0.1396160558464223,0.8146639511201629,0.0257076017378338,0.1601152830037627,,0.2722940776038121,,
2004-01-14,0.12081964044075,1.2692,0.0094144228958764,1.836,1.0,,0.7766000000000001,2.6595744680851063,0.21375,0.3569643749553794,0.5905279319711823,0.777061154712876,0.001774150625388,0.0003620158490538,0.0389574973703689,0.170407102568035,0.0047514967214672,0.0143348623853211,0.0220215811495265,0.0001200912693647,0.000120203805822,0.2270147559591373,,0.0008475294516484,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0387879540130017,0.0923949700178322,0.0135062128579146,0.6816,0.1481503429680439,2.600780234070221,0.0174168844502926,,,0.2676444610978776,0.2747252747252747,0.0346391124073836,0.2666666666666666,0.5905279319711823,0.1388888888888889,0.0102051750442649,0.1381692573402418,0.8123476848090982,0.025666692333359,0.15927624872579,,0.2722940776038121,,
2004-01-15,0.1208211001969384,1.2635,0.0094117647058823,1.8236000000000003,1.0,,0.7738,2.6595744680851063,0.21355,0.3554418141750195,0.5899705014749262,0.7704753833115031,0.0017480072717102,0.0003640255400318,0.0387371683129963,0.1696410395602904,0.0047510452299505,0.0143554407120298,0.022011886418666,0.0001197604790419,0.0001201504510009,0.2265005662514156,,0.0008473140145738,3.39328130302002,0.5175000401062532,0.2631578947368421,0.0388790395322073,0.0921540077777982,0.0135464643727987,0.67985,0.1479246176148634,2.600780234070221,0.0174168844502926,,,0.267143963882136,0.2747252747252747,0.0346266382728232,0.2666666666666666,0.5899705014749262,0.1396648044692737,,0.1377410468319559,0.8077544426494346,0.0256305105597703,0.1593320799209713,,0.2722940776038121,,
